id,item_id,dept_id,cat_id,store_id,state_id,date,d,wm_yr_wk,wday,month,year,is_weekend,snap_CA,snap_TX,snap_WI,sell_price,sales
HOUSEHOLD_1_000_WI_1_validation,HOUSEHOLD_1_000,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,2011-01-29,d_1,201104,6,1,2011,1,0,0,0,14.35,0
HOUSEHOLD_1_000_WI_1_validation,HOUSEHOLD_1_000,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,2011-01-30,d_2,201104,7,1,2011,1,0,0,0,12.2,0
HOUSEHOLD_1_000_WI_1_validation,HOUSEHOLD_1_000,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,2011-01-31,d_3,201105,1,1,2011,0,0,0,0,14.35,1
HOUSEHOLD_1_000_WI_1_validation,HOUSEHOLD_1_000,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,2011-02-01,d_4,201105,2,2,2011,0,0,0,1,14.35,1
HOUSEHOLD_1_000_WI_1_validation,HOUSEHOLD_1_000,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,2011-02-02,d_5,201105,3,2,2011,0,0,0,1,14.35,0
HOUSEHOLD_1_000_WI_1_validation,HOUSEHOLD_1_000,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,2011-02-03,d_6,201105,4,2,2011,0,0,0,1,14.35,0
HOUSEHOLD_1_000_WI_1_validation,HOUSEHOLD_1_000,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,2011-02-04,d_7,201105,5,2,2011,0,0,0,1,14.35,0
HOUSEHOLD_1_000_WI_1_validation,HOUSEHOLD_1_000,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,2011-02-05,d_8,201105,6,2,2011,1,0,0,1,14.35,0
HOUSEHOLD_1_000_WI_1_validation,HOUSEHOLD_1_000,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,2011-02-06,d_9,201105,7,2,2011,1,0,0,0,14.35,2
HOUSEHOLD_1_000_WI_1_validation,HOUSEHOLD_1_000,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,2011-02-07,d_10,201106,1,2,2011,0,0,0,0,12.2,0
HOUSEHOLD_1_000_WI_1_validation,HOUSEHOLD_1_000,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,2011-02-08,d_11,201106,2,2,2011,0,0,0,0,14.35,3
HOUSEHOLD_1_000_WI_1_validation,HOUSEHOLD_1_000,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,2011-02-09,d_12,201106,3,2,2011,0,0,0,0,14.35,0
