id,item_id,dept_id,cat_id,store_id,state_id,date,d,wm_yr_wk,wday,month,year,is_weekend,snap_CA,snap_TX,snap_WI,sell_price,sales,day_of_month,day_of_week,quarter,is_month_start,is_month_end,rolling_max_price,price_discount_pct,is_on_sale,price_ratio_vs_category,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_28,rolling_std_28,ewma_7,has_sale,active_days_ratio_14d,predicted_sales,reconciled_sales
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-01,d_338,201252,7,1,2012,1,1,0,0,8.46,0,1,6,1,1,0,9.95,14.974874371859281,1,1.29865256694525,4.0,0.0,3.0,1.2857142857142858,1.6035674514745468,1.1071428571428572,1.5948826896203983,1.622645872113265,0,0.2857142857142857,1.642501364287305,1.64
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-02,d_339,201201,1,1,2012,0,1,0,0,9.95,3,2,0,1,0,0,9.95,0.0,0,1.435983781183424,0.0,1.0,5.0,1.1428571428571428,1.6761634196950521,1.1071428571428572,1.5948826896203983,1.2169844040849487,1,0.2857142857142857,1.0309997603659564,1.03
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-03,d_340,201201,2,1,2012,0,1,0,0,9.95,1,3,1,1,0,0,9.95,0.0,0,1.435983781183424,0.0,1.0,0.0,1.0,1.7320508075688779,1.0357142857142858,1.5981967351464605,0.9127383030637115,1,0.2857142857142857,1.0274244896958935,1.03
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-04,d_341,201201,3,1,2012,0,1,0,0,9.95,0,4,2,1,0,0,9.95,0.0,0,1.435983781183424,0.0,0.0,0.0,1.0,1.7320508075688779,1.0357142857142858,1.5981967351464605,0.6845537272977835,0,0.2857142857142857,1.0158698019424692,1.02
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-05,d_342,201201,4,1,2012,0,1,0,0,9.95,2,5,3,1,0,0,9.95,0.0,0,1.435983781183424,0.0,0.0,0.0,1.0,1.7320508075688779,0.9285714285714286,1.5617789341495938,0.5134152954733376,1,0.2857142857142857,1.127187198375109,1.13
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-06,d_343,201201,5,1,2012,0,1,0,0,9.95,5,6,4,1,0,0,9.95,0.0,0,1.435983781183424,0.0,3.0,4.0,0.5714285714285714,1.5118578920369097,0.9285714285714286,1.5617789341495938,0.3850614716050032,1,0.35714285714285715,1.0697960664336559,1.07
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-07,d_344,201201,6,1,2012,1,1,0,0,9.95,0,7,5,1,0,0,9.95,0.0,0,1.435983781183424,0.0,0.0,0.0,0.5714285714285714,1.5118578920369097,0.9285714285714286,1.5617789341495938,0.28879610370375236,0,0.35714285714285715,1.2157938912926323,1.22
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-08,d_345,201201,7,1,2012,1,1,0,0,9.95,4,8,6,1,0,0,9.95,0.0,0,1.435983781183424,0.0,4.0,0.0,0.0,0.0,0.8214285714285714,1.516662305941752,0.21659707777781426,1,0.35714285714285715,0.890847899687708,0.89
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-09,d_346,201202,1,1,2012,0,1,0,0,9.95,0,9,0,1,0,0,9.95,0.0,0,1.4674485567806728,3.0,0.0,0.0,0.42857142857142855,1.1338934190276828,0.75,1.3505828645714697,0.9124478083333609,0,0.35714285714285715,0.9246553520620697,0.92
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-10,d_347,201202,2,1,2012,0,1,0,0,9.95,6,10,1,1,0,0,9.95,0.0,0,1.4674485567806728,1.0,0.0,0.0,0.5714285714285714,1.1338934190276826,0.7857142857142857,1.3432173332088917,0.9343358562500207,1,0.35714285714285715,0.9251046424458063,0.93
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-11,d_348,201202,3,1,2012,0,0,0,0,9.95,0,11,2,1,0,0,9.95,0.0,0,1.4674485567806728,0.0,0.0,0.0,0.5714285714285714,1.1338934190276826,0.7857142857142857,1.3432173332088917,0.7007518921875154,0,0.42857142857142855,0.9348931838154532,0.93
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-12,d_349,201202,4,1,2012,0,0,0,0,9.95,0,12,3,1,0,0,9.95,0.0,0,1.4674485567806728,2.0,0.0,3.0,0.8571428571428571,1.2149857925879126,0.8571428571428571,1.3530291315000695,1.0255639191406367,0,0.42857142857142855,0.9743696075071347,0.97
FOODS_3_008_CA_1_validation,FOODS_3_008,FOODS_3,FOODS,CA_1,CA,2012-01-13,d_350,201202,5,1,2012,0,0,0,0,9.95,0,13,4,1,0,0,9.95,0.0,0,1.4674485567806728,5.0,0.0,2.0,1.5714285714285714,1.902379462422684,0.8928571428571429,1.4488638132020384,2.0191729393554776,0,0.42857142857142855,1.1417889914109494,1.14
